"01180: Kommunestyrevalget. Godkjente stemmer, etter region, politisk parti, statistikkvariabel og fireårlig"

"region";"politisk parti";"Godkjente stemmer 2023"
"4016 Drangedal";"Hjelp fremmedkulturelle hjem ellers ...";0
"4016 Drangedal";"Hvit Valgallianse";0
"4016 Drangedal";"Kristent konservativt parti";0
"4016 Drangedal";"Kristent Samlingsparti";0
"4016 Drangedal";"Kvinnenes frie folkevalgte";0
"4016 Drangedal";"Kystpartiet";0
"4016 Drangedal";"Naturlovpartiet";0
"4016 Drangedal";"Norges demokratiske parti";0
"4016 Drangedal";"Norges Kommunistiske Parti";0
"4016 Drangedal";"Norsk Folkeparti";0
"4016 Drangedal";"Norsk Sosialdemokratisk parti";0
"4016 Drangedal";"Partiet De Kristne";0
"4016 Drangedal";"Pensjonistpartiet";0
"4016 Drangedal";"Piratpartiet";0
"4016 Drangedal";"Rettferdighetspartiet";0
"4016 Drangedal";"Rød valgallianse (1973-2007)";0
"4016 Drangedal";"Samefolkets liste";0
"4016 Drangedal";"Samfunnspartiet";0
"4016 Drangedal";"Samlingspartiet (Ny Fremtid)";0
"4016 Drangedal";"Sogn og Fjordane fisker- og småbrukerparti";0
"4016 Drangedal";"Sosialdemokratene";0
"4016 Drangedal";"Sosialistisk Folkeparti (1961-1969)";0
"4016 Drangedal";"Sosialistisk Valgforbund (1973)";0
"4016 Drangedal";"Stopp Innvandringen";0
"4016 Drangedal";"Sykehus til Alta";0
"4016 Drangedal";"Tverrpolitisk kyst og distriktsparti";0
"4016 Drangedal";"Felleslister";240
"4016 Drangedal";"Fellesliste Venstre";0
"4016 Drangedal";"Fellesliste Bondepartiet";0
"4016 Drangedal";"Fellesliste Kristelig folkeparti";0
"4016 Drangedal";"Fellesliste Høyre";0
"4016 Drangedal";"Fellesliste Senterpartiet";0
"4016 Drangedal";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"4016 Drangedal";"Fellesliste Det nye Folkepartiet";0
"4016 Drangedal";"Borgerlige felleslister";0
"4016 Drangedal";"Lokale lister";0
"4016 Drangedal";"Andre lister";0
"4018 Nome";"Arbeiderpartiet";912
"4018 Nome";"Fremskrittspartiet";467
"4018 Nome";"Høyre";459
"4018 Nome";"Kristelig Folkeparti";94
"4018 Nome";"Miljøpartiet de Grønne";180
"4018 Nome";"Rødt";0
"4018 Nome";"Senterpartiet";676
"4018 Nome";"Sosialistisk Venstreparti";156
"4018 Nome";"Venstre";36
"4018 Nome";"Abort-motstandernes liste";0
"4018 Nome";"Anders Langes parti (1973)";0
"4018 Nome";"Barn/Eldre";0
"4018 Nome";"Bondepartiet (-1959)";0
"4018 Nome";"Demokratene i Norge";0
"4018 Nome";"Det Liberale Folkepartiet";0
"4018 Nome";"Det nye Folkepartiet (1973-1977)";0
"4018 Nome";"Det Politiske Parti";0
"4018 Nome";"Ensliges parti";0
"4018 Nome";"Fedrelandspartiet";0
"4018 Nome";"Felles framtid";0
"4018 Nome";"Folkeaksjonen Fremtid for Finnmark";0
"4018 Nome";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"4018 Nome";"Folkemakten";0
"4018 Nome";"Frie Folkevalgte";0
"4018 Nome";"Frihetspartiet";0
"4018 Nome";"Fylkeslistene for miljø og solidaritet";0
"4018 Nome";"Hjelp fremmedkulturelle hjem ellers ...";0
"4018 Nome";"Hvit Valgallianse";0
"4018 Nome";"Kristent konservativt parti";0
"4018 Nome";"Kristent Samlingsparti";0
"4018 Nome";"Kvinnenes frie folkevalgte";0
"4018 Nome";"Kystpartiet";0
"4018 Nome";"Naturlovpartiet";0
"4018 Nome";"Norges demokratiske parti";0
"4018 Nome";"Norges Kommunistiske Parti";0
"4018 Nome";"Norsk Folkeparti";0
"4018 Nome";"Norsk Sosialdemokratisk parti";0
"4018 Nome";"Partiet De Kristne";0
"4018 Nome";"Pensjonistpartiet";0
"4018 Nome";"Piratpartiet";0
"4018 Nome";"Rettferdighetspartiet";0
"4018 Nome";"Rød valgallianse (1973-2007)";0
"4018 Nome";"Samefolkets liste";0
"4018 Nome";"Samfunnspartiet";0
"4018 Nome";"Samlingspartiet (Ny Fremtid)";0
"4018 Nome";"Sogn og Fjordane fisker- og småbrukerparti";0
"4018 Nome";"Sosialdemokratene";0
"4018 Nome";"Sosialistisk Folkeparti (1961-1969)";0
"4018 Nome";"Sosialistisk Valgforbund (1973)";0
"4018 Nome";"Stopp Innvandringen";0
"4018 Nome";"Sykehus til Alta";0
"4018 Nome";"Tverrpolitisk kyst og distriktsparti";0
"4018 Nome";"Felleslister";0
"4018 Nome";"Fellesliste Venstre";0
"4018 Nome";"Fellesliste Bondepartiet";0
"4018 Nome";"Fellesliste Kristelig folkeparti";0
"4018 Nome";"Fellesliste Høyre";0
"4018 Nome";"Fellesliste Senterpartiet";0
"4018 Nome";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"4018 Nome";"Fellesliste Det nye Folkepartiet";0
"4018 Nome";"Borgerlige felleslister";0
"4018 Nome";"Lokale lister";0
"4018 Nome";"Andre lister";117
"4020 Midt-Telemark";"Arbeiderpartiet";731
"4020 Midt-Telemark";"Fremskrittspartiet";595
"4020 Midt-Telemark";"Høyre";570
"4020 Midt-Telemark";"Kristelig Folkeparti";225
"4020 Midt-Telemark";"Miljøpartiet de Grønne";355
"4020 Midt-Telemark";"Rødt";192
"4020 Midt-Telemark";"Senterpartiet";1397
"4020 Midt-Telemark";"Sosialistisk Venstreparti";279
"4020 Midt-Telemark";"Venstre";386
"4020 Midt-Telemark";"Abort-motstandernes liste";0
"4020 Midt-Telemark";"Anders Langes parti (1973)";0
"4020 Midt-Telemark";"Barn/Eldre";0
"4020 Midt-Telemark";"Bondepartiet (-1959)";0
"4020 Midt-Telemark";"Demokratene i Norge";0
"4020 Midt-Telemark";"Det Liberale Folkepartiet";0
"4020 Midt-Telemark";"Det nye Folkepartiet (1973-1977)";0
"4020 Midt-Telemark";"Det Politiske Parti";0
"4020 Midt-Telemark";"Ensliges parti";0
"4020 Midt-Telemark";"Fedrelandspartiet";0
"4020 Midt-Telemark";"Felles framtid";0
"4020 Midt-Telemark";"Folkeaksjonen Fremtid for Finnmark";0
"4020 Midt-Telemark";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"4020 Midt-Telemark";"Folkemakten";0
"4020 Midt-Telemark";"Frie Folkevalgte";0
"4020 Midt-Telemark";"Frihetspartiet";0
"4020 Midt-Telemark";"Fylkeslistene for miljø og solidaritet";0
"4020 Midt-Telemark";"Hjelp fremmedkulturelle hjem ellers ...";0
"4020 Midt-Telemark";"Hvit Valgallianse";0
"4020 Midt-Telemark";"Kristent konservativt parti";0
"4020 Midt-Telemark";"Kristent Samlingsparti";0
"4020 Midt-Telemark";"Kvinnenes frie folkevalgte";0
"4020 Midt-Telemark";"Kystpartiet";0
"4020 Midt-Telemark";"Naturlovpartiet";0
"4020 Midt-Telemark";"Norges demokratiske parti";0
"4020 Midt-Telemark";"Norges Kommunistiske Parti";0
"4020 Midt-Telemark";"Norsk Folkeparti";0
"4020 Midt-Telemark";"Norsk Sosialdemokratisk parti";0
"4020 Midt-Telemark";"Partiet De Kristne";0
"4020 Midt-Telemark";"Pensjonistpartiet";0
"4020 Midt-Telemark";"Piratpartiet";0
"4020 Midt-Telemark";"Rettferdighetspartiet";0
"4020 Midt-Telemark";"Rød valgallianse (1973-2007)";0
"4020 Midt-Telemark";"Samefolkets liste";0
"4020 Midt-Telemark";"Samfunnspartiet";0
"4020 Midt-Telemark";"Samlingspartiet (Ny Fremtid)";0
"4020 Midt-Telemark";"Sogn og Fjordane fisker- og småbrukerparti";0
"4020 Midt-Telemark";"Sosialdemokratene";0
"4020 Midt-Telemark";"Sosialistisk Folkeparti (1961-1969)";0
"4020 Midt-Telemark";"Sosialistisk Valgforbund (1973)";0
"4020 Midt-Telemark";"Stopp Innvandringen";0
"4020 Midt-Telemark";"Sykehus til Alta";0
"4020 Midt-Telemark";"Tverrpolitisk kyst og distriktsparti";0
"4020 Midt-Telemark";"Felleslister";0
"4020 Midt-Telemark";"Fellesliste Venstre";0
"4020 Midt-Telemark";"Fellesliste Bondepartiet";0
"4020 Midt-Telemark";"Fellesliste Kristelig folkeparti";0
"4020 Midt-Telemark";"Fellesliste Høyre";0
"4020 Midt-Telemark";"Fellesliste Senterpartiet";0
"4020 Midt-Telemark";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"4020 Midt-Telemark";"Fellesliste Det nye Folkepartiet";0
"4020 Midt-Telemark";"Borgerlige felleslister";0
"4020 Midt-Telemark";"Lokale lister";0
"4020 Midt-Telemark";"Andre lister";0
"4022 Seljord";"Arbeiderpartiet";334
"4022 Seljord";"Fremskrittspartiet";379
"4022 Seljord";"Høyre";404
"4022 Seljord";"Kristelig Folkeparti";0
"4022 Seljord";"Miljøpartiet de Grønne";0
"4022 Seljord";"Rødt";125
"4022 Seljord";"Senterpartiet";261
"4022 Seljord";"Sosialistisk Venstreparti";0
"4022 Seljord";"Venstre";0
"4022 Seljord";"Abort-motstandernes liste";0
"4022 Seljord";"Anders Langes parti (1973)";0
"4022 Seljord";"Barn/Eldre";0
"4022 Seljord";"Bondepartiet (-1959)";0
"4022 Seljord";"Demokratene i Norge";0
"4022 Seljord";"Det Liberale Folkepartiet";0
"4022 Seljord";"Det nye Folkepartiet (1973-1977)";0
"4022 Seljord";"Det Politiske Parti";0
"4022 Seljord";"Ensliges parti";0
"4022 Seljord";"Fedrelandspartiet";0
"4022 Seljord";"Felles framtid";0
"4022 Seljord";"Folkeaksjonen Fremtid for Finnmark";0
"4022 Seljord";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"4022 Seljord";"Folkemakten";0
"4022 Seljord";"Frie Folkevalgte";0
"4022 Seljord";"Frihetspartiet";0
"4022 Seljord";"Fylkeslistene for miljø og solidaritet";0
"4022 Seljord";"Hjelp fremmedkulturelle hjem ellers ...";0
"4022 Seljord";"Hvit Valgallianse";0
"4022 Seljord";"Kristent konservativt parti";0
"4022 Seljord";"Kristent Samlingsparti";0
"4022 Seljord";"Kvinnenes frie folkevalgte";0
"4022 Seljord";"Kystpartiet";0
"4022 Seljord";"Naturlovpartiet";0
"4022 Seljord";"Norges demokratiske parti";0
"4022 Seljord";"Norges Kommunistiske Parti";0
"4022 Seljord";"Norsk Folkeparti";0
"4022 Seljord";"Norsk Sosialdemokratisk parti";0
"4022 Seljord";"Partiet De Kristne";0
"4022 Seljord";"Pensjonistpartiet";0
"4022 Seljord";"Piratpartiet";0
"4022 Seljord";"Rettferdighetspartiet";0
"4022 Seljord";"Rød valgallianse (1973-2007)";0
"4022 Seljord";"Samefolkets liste";0
"4022 Seljord";"Samfunnspartiet";0
"4022 Seljord";"Samlingspartiet (Ny Fremtid)";0
"4022 Seljord";"Sogn og Fjordane fisker- og småbrukerparti";0
"4022 Seljord";"Sosialdemokratene";0
"4022 Seljord";"Sosialistisk Folkeparti (1961-1969)";0
"4022 Seljord";"Sosialistisk Valgforbund (1973)";0
"4022 Seljord";"Stopp Innvandringen";0
"4022 Seljord";"Sykehus til Alta";0
"4022 Seljord";"Tverrpolitisk kyst og distriktsparti";0
"4022 Seljord";"Felleslister";0
"4022 Seljord";"Fellesliste Venstre";0
"4022 Seljord";"Fellesliste Bondepartiet";0
"4022 Seljord";"Fellesliste Kristelig folkeparti";0
"4022 Seljord";"Fellesliste Høyre";0
"4022 Seljord";"Fellesliste Senterpartiet";0
"4022 Seljord";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"4022 Seljord";"Fellesliste Det nye Folkepartiet";0
"4022 Seljord";"Borgerlige felleslister";0
"4022 Seljord";"Lokale lister";0
"4022 Seljord";"Andre lister";0
"4024 Hjartdal";"Arbeiderpartiet";437
"4024 Hjartdal";"Fremskrittspartiet";0
"4024 Hjartdal";"Høyre";0
"4024 Hjartdal";"Kristelig Folkeparti";107
"4024 Hjartdal";"Miljøpartiet de Grønne";0
"4024 Hjartdal";"Rødt";0
"4024 Hjartdal";"Senterpartiet";234
"4024 Hjartdal";"Sosialistisk Venstreparti";0
"4024 Hjartdal";"Venstre";0
"4024 Hjartdal";"Abort-motstandernes liste";0
"4024 Hjartdal";"Anders Langes parti (1973)";0
"4024 Hjartdal";"Barn/Eldre";0
"4024 Hjartdal";"Bondepartiet (-1959)";0
"4024 Hjartdal";"Demokratene i Norge";0
"4024 Hjartdal";"Det Liberale Folkepartiet";0
"4024 Hjartdal";"Det nye Folkepartiet (1973-1977)";0
"4024 Hjartdal";"Det Politiske Parti";0
"4024 Hjartdal";"Ensliges parti";0
"4024 Hjartdal";"Fedrelandspartiet";0
"4024 Hjartdal";"Felles framtid";0
"4024 Hjartdal";"Folkeaksjonen Fremtid for Finnmark";0
"4024 Hjartdal";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"4024 Hjartdal";"Folkemakten";0
"4024 Hjartdal";"Frie Folkevalgte";0
"4024 Hjartdal";"Frihetspartiet";0
"4024 Hjartdal";"Fylkeslistene for miljø og solidaritet";0
"4024 Hjartdal";"Hjelp fremmedkulturelle hjem ellers ...";0
"4024 Hjartdal";"Hvit Valgallianse";0
"4024 Hjartdal";"Kristent konservativt parti";0
"4024 Hjartdal";"Kristent Samlingsparti";0
"4024 Hjartdal";"Kvinnenes frie folkevalgte";0
"4024 Hjartdal";"Kystpartiet";0
"4024 Hjartdal";"Naturlovpartiet";0
"4024 Hjartdal";"Norges demokratiske parti";0
"4024 Hjartdal";"Norges Kommunistiske Parti";0
"4024 Hjartdal";"Norsk Folkeparti";0
"4024 Hjartdal";"Norsk Sosialdemokratisk parti";0
"4024 Hjartdal";"Partiet De Kristne";0
"4024 Hjartdal";"Pensjonistpartiet";0
"4024 Hjartdal";"Piratpartiet";0
"4024 Hjartdal";"Rettferdighetspartiet";0
"4024 Hjartdal";"Rød valgallianse (1973-2007)";0
"4024 Hjartdal";"Samefolkets liste";0
"4024 Hjartdal";"Samfunnspartiet";0
"4024 Hjartdal";"Samlingspartiet (Ny Fremtid)";0
"4024 Hjartdal";"Sogn og Fjordane fisker- og småbrukerparti";0
"4024 Hjartdal";"Sosialdemokratene";0
"4024 Hjartdal";"Sosialistisk Folkeparti (1961-1969)";0
"4024 Hjartdal";"Sosialistisk Valgforbund (1973)";0
"4024 Hjartdal";"Stopp Innvandringen";0
"4024 Hjartdal";"Sykehus til Alta";0
"4024 Hjartdal";"Tverrpolitisk kyst og distriktsparti";0
"4024 Hjartdal";"Felleslister";0
"4024 Hjartdal";"Fellesliste Venstre";0
"4024 Hjartdal";"Fellesliste Bondepartiet";0
"4024 Hjartdal";"Fellesliste Kristelig folkeparti";0
"4024 Hjartdal";"Fellesliste Høyre";0
"4024 Hjartdal";"Fellesliste Senterpartiet";0
"4024 Hjartdal";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"4024 Hjartdal";"Fellesliste Det nye Folkepartiet";0
"4024 Hjartdal";"Borgerlige felleslister";0
"4024 Hjartdal";"Lokale lister";0
"4024 Hjartdal";"Andre lister";0
"4026 Tinn";"Arbeiderpartiet";882
"4026 Tinn";"Fremskrittspartiet";219
"4026 Tinn";"Høyre";628
"4026 Tinn";"Kristelig Folkeparti";0
"4026 Tinn";"Miljøpartiet de Grønne";61
"4026 Tinn";"Rødt";0
"4026 Tinn";"Senterpartiet";450
"4026 Tinn";"Sosialistisk Venstreparti";416
"4026 Tinn";"Venstre";86
"4026 Tinn";"Abort-motstandernes liste";0
"4026 Tinn";"Anders Langes parti (1973)";0
"4026 Tinn";"Barn/Eldre";0
"4026 Tinn";"Bondepartiet (-1959)";0
"4026 Tinn";"Demokratene i Norge";0
"4026 Tinn";"Det Liberale Folkepartiet";0
"4026 Tinn";"Det nye Folkepartiet (1973-1977)";0
"4026 Tinn";"Det Politiske Parti";0
"4026 Tinn";"Ensliges parti";0
"4026 Tinn";"Fedrelandspartiet";0
"4026 Tinn";"Felles framtid";0
"4026 Tinn";"Folkeaksjonen Fremtid for Finnmark";0
"4026 Tinn";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"4026 Tinn";"Folkemakten";0
"4026 Tinn";"Frie Folkevalgte";0
"4026 Tinn";"Frihetspartiet";0
"4026 Tinn";"Fylkeslistene for miljø og solidaritet";0
"4026 Tinn";"Hjelp fremmedkulturelle hjem ellers ...";0
"4026 Tinn";"Hvit Valgallianse";0
"4026 Tinn";"Kristent konservativt parti";0
"4026 Tinn";"Kristent Samlingsparti";0
"4026 Tinn";"Kvinnenes frie folkevalgte";0
"4026 Tinn";"Kystpartiet";0
"4026 Tinn";"Naturlovpartiet";0
"4026 Tinn";"Norges demokratiske parti";0
"4026 Tinn";"Norges Kommunistiske Parti";0
"4026 Tinn";"Norsk Folkeparti";0
"4026 Tinn";"Norsk Sosialdemokratisk parti";0
"4026 Tinn";"Partiet De Kristne";0
"4026 Tinn";"Pensjonistpartiet";0
"4026 Tinn";"Piratpartiet";0
"4026 Tinn";"Rettferdighetspartiet";0
"4026 Tinn";"Rød valgallianse (1973-2007)";0
"4026 Tinn";"Samefolkets liste";0
"4026 Tinn";"Samfunnspartiet";0
"4026 Tinn";"Samlingspartiet (Ny Fremtid)";0
"4026 Tinn";"Sogn og Fjordane fisker- og småbrukerparti";0
"4026 Tinn";"Sosialdemokratene";0
"4026 Tinn";"Sosialistisk Folkeparti (1961-1969)";0
"4026 Tinn";"Sosialistisk Valgforbund (1973)";0
"4026 Tinn";"Stopp Innvandringen";0
"4026 Tinn";"Sykehus til Alta";0
"4026 Tinn";"Tverrpolitisk kyst og distriktsparti";0
"4026 Tinn";"Felleslister";0
"4026 Tinn";"Fellesliste Venstre";0
"4026 Tinn";"Fellesliste Bondepartiet";0
"4026 Tinn";"Fellesliste Kristelig folkeparti";0
"4026 Tinn";"Fellesliste Høyre";0
"4026 Tinn";"Fellesliste Senterpartiet";0
"4026 Tinn";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"4026 Tinn";"Fellesliste Det nye Folkepartiet";0
"4026 Tinn";"Borgerlige felleslister";0
"4026 Tinn";"Lokale lister";0
"4026 Tinn";"Andre lister";0
"4028 Kviteseid";"Arbeiderpartiet";330
"4028 Kviteseid";"Fremskrittspartiet";0
"4028 Kviteseid";"Høyre";157
"4028 Kviteseid";"Kristelig Folkeparti";334
"4028 Kviteseid";"Miljøpartiet de Grønne";0
"4028 Kviteseid";"Rødt";0
"4028 Kviteseid";"Senterpartiet";329
"4028 Kviteseid";"Sosialistisk Venstreparti";0
"4028 Kviteseid";"Venstre";59
"4028 Kviteseid";"Abort-motstandernes liste";0
"4028 Kviteseid";"Anders Langes parti (1973)";0
"4028 Kviteseid";"Barn/Eldre";0
"4028 Kviteseid";"Bondepartiet (-1959)";0
"4028 Kviteseid";"Demokratene i Norge";0
"4028 Kviteseid";"Det Liberale Folkepartiet";0
"4028 Kviteseid";"Det nye Folkepartiet (1973-1977)";0
"4028 Kviteseid";"Det Politiske Parti";0
"4028 Kviteseid";"Ensliges parti";0
"4028 Kviteseid";"Fedrelandspartiet";0
"4028 Kviteseid";"Felles framtid";0
"4028 Kviteseid";"Folkeaksjonen Fremtid for Finnmark";0
"4028 Kviteseid";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"4028 Kviteseid";"Folkemakten";0
"4028 Kviteseid";"Frie Folkevalgte";0
"4028 Kviteseid";"Frihetspartiet";0
"4028 Kviteseid";"Fylkeslistene for miljø og solidaritet";0
"4028 Kviteseid";"Hjelp fremmedkulturelle hjem ellers ...";0
"4028 Kviteseid";"Hvit Valgallianse";0
"4028 Kviteseid";"Kristent konservativt parti";0
"4028 Kviteseid";"Kristent Samlingsparti";0
"4028 Kviteseid";"Kvinnenes frie folkevalgte";0
"4028 Kviteseid";"Kystpartiet";0
"4028 Kviteseid";"Naturlovpartiet";0
"4028 Kviteseid";"Norges demokratiske parti";0
"4028 Kviteseid";"Norges Kommunistiske Parti";0
"4028 Kviteseid";"Norsk Folkeparti";0
"4028 Kviteseid";"Norsk Sosialdemokratisk parti";0
"4028 Kviteseid";"Partiet De Kristne";0
"4028 Kviteseid";"Pensjonistpartiet";0
"4028 Kviteseid";"Piratpartiet";0
"4028 Kviteseid";"Rettferdighetspartiet";0
"4028 Kviteseid";"Rød valgallianse (1973-2007)";0
"4028 Kviteseid";"Samefolkets liste";0
"4028 Kviteseid";"Samfunnspartiet";0
"4028 Kviteseid";"Samlingspartiet (Ny Fremtid)";0
"4028 Kviteseid";"Sogn og Fjordane fisker- og småbrukerparti";0
"4028 Kviteseid";"Sosialdemokratene";0
"4028 Kviteseid";"Sosialistisk Folkeparti (1961-1969)";0
"4028 Kviteseid";"Sosialistisk Valgforbund (1973)";0
"4028 Kviteseid";"Stopp Innvandringen";0
"4028 Kviteseid";"Sykehus til Alta";0
"4028 Kviteseid";"Tverrpolitisk kyst og distriktsparti";0
"4028 Kviteseid";"Felleslister";0
"4028 Kviteseid";"Fellesliste Venstre";0
"4028 Kviteseid";"Fellesliste Bondepartiet";0
"4028 Kviteseid";"Fellesliste Kristelig folkeparti";0
"4028 Kviteseid";"Fellesliste Høyre";0
"4028 Kviteseid";"Fellesliste Senterpartiet";0
"4028 Kviteseid";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"4028 Kviteseid";"Fellesliste Det nye Folkepartiet";0
"4028 Kviteseid";"Borgerlige felleslister";0
"4028 Kviteseid";"Lokale lister";0
"4028 Kviteseid";"Andre lister";0
"4030 Nissedal";"Arbeiderpartiet";234
"4030 Nissedal";"Fremskrittspartiet";58
"4030 Nissedal";"Høyre";118
"4030 Nissedal";"Kristelig Folkeparti";146
"4030 Nissedal";"Miljøpartiet de Grønne";0
"4030 Nissedal";"Rødt";0
"4030 Nissedal";"Senterpartiet";291
"4030 Nissedal";"Sosialistisk Venstreparti";0
"4030 Nissedal";"Venstre";0
"4030 Nissedal";"Abort-motstandernes liste";0
"4030 Nissedal";"Anders Langes parti (1973)";0
"4030 Nissedal";"Barn/Eldre";0
"4030 Nissedal";"Bondepartiet (-1959)";0
"4030 Nissedal";"Demokratene i Norge";0
"4030 Nissedal";"Det Liberale Folkepartiet";0
"4030 Nissedal";"Det nye Folkepartiet (1973-1977)";0
"4030 Nissedal";"Det Politiske Parti";0
"4030 Nissedal";"Ensliges parti";0
"4030 Nissedal";"Fedrelandspartiet";0
"4030 Nissedal";"Felles framtid";0
"4030 Nissedal";"Folkeaksjonen Fremtid for Finnmark";0
"4030 Nissedal";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"4030 Nissedal";"Folkemakten";0
"4030 Nissedal";"Frie Folkevalgte";0
"4030 Nissedal";"Frihetspartiet";0
"4030 Nissedal";"Fylkeslistene for miljø og solidaritet";0
"4030 Nissedal";"Hjelp fremmedkulturelle hjem ellers ...";0
"4030 Nissedal";"Hvit Valgallianse";0
"4030 Nissedal";"Kristent konservativt parti";0
"4030 Nissedal";"Kristent Samlingsparti";0
"4030 Nissedal";"Kvinnenes frie folkevalgte";0
"4030 Nissedal";"Kystpartiet";0
"4030 Nissedal";"Naturlovpartiet";0
"4030 Nissedal";"Norges demokratiske parti";0
"4030 Nissedal";"Norges Kommunistiske Parti";0
"4030 Nissedal";"Norsk Folkeparti";0
"4030 Nissedal";"Norsk Sosialdemokratisk parti";0
"4030 Nissedal";"Partiet De Kristne";0
"4030 Nissedal";"Pensjonistpartiet";0
"4030 Nissedal";"Piratpartiet";0
"4030 Nissedal";"Rettferdighetspartiet";0
"4030 Nissedal";"Rød valgallianse (1973-2007)";0
"4030 Nissedal";"Samefolkets liste";0
"4030 Nissedal";"Samfunnspartiet";0
"4030 Nissedal";"Samlingspartiet (Ny Fremtid)";0
"4030 Nissedal";"Sogn og Fjordane fisker- og småbrukerparti";0
"4030 Nissedal";"Sosialdemokratene";0
"4030 Nissedal";"Sosialistisk Folkeparti (1961-1969)";0
"4030 Nissedal";"Sosialistisk Valgforbund (1973)";0
"4030 Nissedal";"Stopp Innvandringen";0
"4030 Nissedal";"Sykehus til Alta";0
"4030 Nissedal";"Tverrpolitisk kyst og distriktsparti";0
"4030 Nissedal";"Felleslister";0
"4030 Nissedal";"Fellesliste Venstre";0
"4030 Nissedal";"Fellesliste Bondepartiet";0
"4030 Nissedal";"Fellesliste Kristelig folkeparti";0
"4030 Nissedal";"Fellesliste Høyre";0
"4030 Nissedal";"Fellesliste Senterpartiet";0
"4030 Nissedal";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"4030 Nissedal";"Fellesliste Det nye Folkepartiet";0
"4030 Nissedal";"Borgerlige felleslister";0
"4030 Nissedal";"Lokale lister";0
"4030 Nissedal";"Andre lister";0
"4032 Fyresdal";"Arbeiderpartiet";330
"4032 Fyresdal";"Fremskrittspartiet";0
"4032 Fyresdal";"Høyre";0
"4032 Fyresdal";"Kristelig Folkeparti";0
"4032 Fyresdal";"Miljøpartiet de Grønne";0
"4032 Fyresdal";"Rødt";0
"4032 Fyresdal";"Senterpartiet";268
"4032 Fyresdal";"Sosialistisk Venstreparti";0
"4032 Fyresdal";"Venstre";0
"4032 Fyresdal";"Abort-motstandernes liste";0
"4032 Fyresdal";"Anders Langes parti (1973)";0
"4032 Fyresdal";"Barn/Eldre";0
"4032 Fyresdal";"Bondepartiet (-1959)";0
"4032 Fyresdal";"Demokratene i Norge";0
"4032 Fyresdal";"Det Liberale Folkepartiet";0
"4032 Fyresdal";"Det nye Folkepartiet (1973-1977)";0
"4032 Fyresdal";"Det Politiske Parti";0
"4032 Fyresdal";"Ensliges parti";0
"4032 Fyresdal";"Fedrelandspartiet";0
"4032 Fyresdal";"Felles framtid";0
"4032 Fyresdal";"Folkeaksjonen Fremtid for Finnmark";0
"4032 Fyresdal";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"4032 Fyresdal";"Folkemakten";0
"4032 Fyresdal";"Frie Folkevalgte";0
"4032 Fyresdal";"Frihetspartiet";0
"4032 Fyresdal";"Fylkeslistene for miljø og solidaritet";0
"4032 Fyresdal";"Hjelp fremmedkulturelle hjem ellers ...";0
"4032 Fyresdal";"Hvit Valgallianse";0
"4032 Fyresdal";"Kristent konservativt parti";0
"4032 Fyresdal";"Kristent Samlingsparti";0
"4032 Fyresdal";"Kvinnenes frie folkevalgte";0
"4032 Fyresdal";"Kystpartiet";0
"4032 Fyresdal";"Naturlovpartiet";0
"4032 Fyresdal";"Norges demokratiske parti";0
"4032 Fyresdal";"Norges Kommunistiske Parti";0
"4032 Fyresdal";"Norsk Folkeparti";0
"4032 Fyresdal";"Norsk Sosialdemokratisk parti";0
"4032 Fyresdal";"Partiet De Kristne";0
"4032 Fyresdal";"Pensjonistpartiet";0
"4032 Fyresdal";"Piratpartiet";0
"4032 Fyresdal";"Rettferdighetspartiet";0
"4032 Fyresdal";"Rød valgallianse (1973-2007)";0
"4032 Fyresdal";"Samefolkets liste";0
"4032 Fyresdal";"Samfunnspartiet";0
"4032 Fyresdal";"Samlingspartiet (Ny Fremtid)";0
"4032 Fyresdal";"Sogn og Fjordane fisker- og småbrukerparti";0
"4032 Fyresdal";"Sosialdemokratene";0
"4032 Fyresdal";"Sosialistisk Folkeparti (1961-1969)";0
"4032 Fyresdal";"Sosialistisk Valgforbund (1973)";0
"4032 Fyresdal";"Stopp Innvandringen";0
"4032 Fyresdal";"Sykehus til Alta";0
"4032 Fyresdal";"Tverrpolitisk kyst og distriktsparti";0
"4032 Fyresdal";"Felleslister";0
"4032 Fyresdal";"Fellesliste Venstre";0
"4032 Fyresdal";"Fellesliste Bondepartiet";0
