"","country","region","population_kaggle","area","pop_dens","coastline","net_migration","infant_mortality","gdp_kaggle","literacy","phones","arable","crops","climate","birthrate","deathrate","agriculture","industry","service","code","mismanaged","coastal_pop","population","per_capita_plastic_waste","gdp","per_capita_mismanaged"
"205","Turkmenistan","C.W. OF IND. STATES",5042920,488100,10.3,0,-0.86,7308,5800,98,74.6,3.72,0.14,"1",2761,86,0.209,0.38,0.411,"TKM",NA,NA,5041995,NA,9942.4269559212,NA
"206","Turks and Caicos Islands","LATIN AMER. & CARIB",21152,430,49.2,90.47,11.68,1567,9600,98,269.5,2.33,0,"2",2184,421,NA,NA,NA,"TCA",49,22570,38354,0.252,NA,0.006
"207","Tuvalu","OCEANIA",11810,26,454.2,92.31,0,2003,1100,NA,59.3,0,0,"2",2218,711,0.166,0.272,0.562,"TUV",457,11563,9827,0.144,2986.44985588888,0.108
"208","Uganda","SUB-SAHARAN AFRICA",28195754,236040,119.5,0,0,6783,1400,69.9,3.6,25.88,10.65,"2",4735,1224,0.311,0.222,0.469,"UGA",NA,NA,33424683,NA,1515.86641152128,NA
"209","Ukraine","C.W. OF IND. STATES",46710816,603700,77.4,0.46,-0.39,2034,5400,99.7,259.9,56.21,1.61,"3",882,1439,0.187,0.452,0.361,"UKR",128765,6812799,45448329,0.103,7824.49845171438,0.052
"210","United Arab Emirates","NEAR EAST",2602713,82880,31.4,1.59,1.03,1451,23200,77.9,475.3,0.6,2.25,"1",1896,44,0.04,0.585,0.375,"ARE",3016,2018302,7511690,0.199,57232.6180757649,0.004
"211","United Kingdom","WESTERN EUROPE",60609153,244820,247.6,5.08,2.19,516,27700,99,543.5,23.46,0.21,"3",1071,1013,0.005,0.237,0.758,"GBR",67549,43258889,62035570,0.215,36366.9831782522,0.004
"212","United States","NORTHERN AMERICA",298444215,9631420,31,0.21,3.41,65,37800,97,898,19.13,0.22,"3",1414,826,0.01,0.204,0.787,"USA",275424,112925034,310383948,0.335,49374.1788851797,0.007
"213","Uruguay","LATIN AMER. & CARIB",3431932,176220,19.5,0.37,-0.32,1195,12800,98,291.4,7.43,0.23,"3",1391,905,0.093,0.311,0.596,"URY",21562,2433597,3368786,0.252,17082.4046586765,0.024
"214","Uzbekistan","C.W. OF IND. STATES",27307134,447400,61,0,-1.72,711,1700,99.3,62.9,10.83,0.83,"1",2636,784,0.342,0.229,0.43,"UZB",NA,NA,27444702,NA,4239.70220839215,NA
"215","Vanuatu","OCEANIA",208869,12200,17.1,20.72,0,5516,2900,53,32.6,2.46,7.38,"2",2272,782,0.26,0.12,0.62,"VUT",22478,251851,239651,0.295,2948.03293729183,0.245
"216","Venezuela","LATIN AMER. & CARIB",25730435,912050,28.2,0.31,-0.04,222,4800,93.4,140.1,2.95,0.92,"2",1871,492,0.04,0.419,0.541,"VEN",102333,16094897,28979857,0.252,16544.9720552598,0.017
"217","Vietnam","ASIA (EX. NEAR EAST)",84402966,329560,256.1,1.05,-0.45,2595,2500,90.3,187.7,19.97,5.95,"2",1686,622,0.209,0.41,0.381,"VNM",1833819,55858245,87848445,0.103,4408.16861192198,0.09
"218","Western Sahara","NORTHERN AFRICA",273008,266000,1,0.42,NA,NA,NA,NA,NA,0.02,0,"1",NA,NA,NA,NA,0.4,"ESH",NA,NA,530500,NA,NA,NA
"219","Yemen","NEAR EAST",21456188,527970,40.6,0.36,0,615,800,50.2,37.2,2.78,0.24,"1",4289,83,0.135,0.472,0.393,"YEM",169181,6048920,NA,0.103,4478.7435991429,0.077
"220","Zambia","SUB-SAHARAN AFRICA",11502010,752614,15.3,0,0,8829,800,80.6,8.2,7.08,0.03,"2",41,1993,0.22,0.29,0.489,"ZMB",NA,NA,13088570,NA,3279.27716144476,NA
"221","Zimbabwe","SUB-SAHARAN AFRICA",12236805,390580,31.3,0,0,6769,1900,90.7,26.8,8.32,0.34,"2",2801,2184,0.179,0.243,0.579,"ZWE",NA,NA,12571454,NA,1474.87712795527,NA
"222","Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OWID_CIS",281,153352,NA,0.252,NA,0.005
"223","Christmas Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CXR",3,1402,1400,0.252,NA,0.005
"224","Cocos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CCK",1,596,596,0.252,NA,0.005
"225","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUW",268,143784,NA,0.252,NA,0.005
"226","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLK",5,2602,NA,0.252,NA,0.005
"227","Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MNE",4416,260336,631490,0.144,14034.5845640087,0.046
"228","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NIU",4,1799,1468,0.252,NA,0.006
"229","Norfolk Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NFK",68,2156,NA,0.103,NA,0.086
"230","Palestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSE",5599,3045258,NA,0.063,4172.74568921544,0.005
"231","Pitcairn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PCN",NA,NA,50,NA,NA,NA
"232","Sint Maarten (Dutch part)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SXM",70,37429,NA,0.252,NA,0.005
"233","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SSD",NA,NA,9415421,NA,NA,NA
"234","Tokelau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TKL",43,1379,1135,0.103,NA,0.086
