"","country","region","population_kaggle","area","pop_dens","coastline","net_migration","infant_mortality","gdp_kaggle","literacy","phones","arable","crops","climate","birthrate","deathrate","agriculture","industry","service","code","mismanaged","coastal_pop","population","per_capita_plastic_waste","gdp","per_capita_mismanaged"
"120","Macao","ASIA (EX. NEAR EAST)",453125,28,16183,146.43,4.86,439,19400,94.5,384.9,0,0,"2",848,447,0.001,0.072,0.927,"MAC",698,257911,543656,0.368,98184.3365009534,0.007
"121","Macedonia","EASTERN EUROPE",2050554,25333,80.9,0,-1.45,1009,6700,NA,260,22.26,1.81,"3",1202,877,0.118,0.319,0.563,"MKD",NA,NA,2060563,NA,11355.3674926425,NA
"122","Madagascar","SUB-SAHARAN AFRICA",18595469,587040,31.7,0.82,0,7683,800,68.9,3.6,5.07,1.03,"2",4141,1111,0.276,0.165,0.559,"MDG",34522,7062413,20713819,0.016,1385.68507168039,0.013
"123","Malawi","SUB-SAHARAN AFRICA",13013926,118480,109.8,0,0,10332,600,62.7,7.9,23.38,1.49,"2",4313,1933,0.342,0.158,0.499,"MWI",NA,NA,14900841,NA,1032.9628806199,NA
"124","Malaysia","ASIA (EX. NEAR EAST)",24385858,329750,74,1.42,0,177,9000,88.7,179,5.48,17.61,"2",2286,505,0.084,0.48,0.436,"MYS",936818,22890252,28401017,0.198,21107.2679372523,0.112
"125","Maldives","ASIA (EX. NEAR EAST)",359008,300,1196.7,214.67,0,5652,3900,97.2,90,13.33,16.67,"2",3481,706,0.2,0.18,0.62,"MDV",31469,392567,315885,0.322,12005.5046183167,0.22
"126","Mali","SUB-SAHARAN AFRICA",11716829,1240000,9.5,0,-0.33,11679,900,46.4,6.4,3.82,0.03,"2",4982,1689,0.45,0.17,0.38,"MLI",NA,NA,15369809,NA,1871.98474385098,NA
"127","Malta","WESTERN EUROPE",400214,316,1266.5,62.28,2.07,389,17700,92.8,505,28.13,3.13,NA,1022,81,0.03,0.23,0.74,"MLT",2620,404707,416515,0.214,28364.7993209208,0.018
"128","Marshall Islands","OCEANIA",60422,11854,5.1,3.12,-6.04,2945,1600,93.7,91.2,16.67,38.89,"2",3305,478,0.317,0.149,0.534,"MHL",3187,58086,54038,0.192,3479.15530340683,0.15
"129","Martinique","LATIN AMER. & CARIB",436131,1100,396.5,31.82,-0.05,709,14400,97.7,394.4,10.38,9.43,"2",1374,648,0.06,0.11,0.83,"MTQ",749,402257,405814,0.252,NA,0.005
"130","Mauritania","SUB-SAHARAN AFRICA",3177388,1030700,3.1,0.07,0,7089,1800,41.7,12.9,0.48,0.01,"1",4099,1216,0.25,0.29,0.46,"MRT",13854,1005481,3459773,0.045,3316.97478042489,0.038
"131","Mauritius","SUB-SAHARAN AFRICA",1240827,2040,608.3,8.68,-0.9,1503,11400,85.6,289.3,49.26,2.96,"2",1543,686,0.059,0.298,0.643,"MUS",56051,1255952,1299172,0.23,15938.4192089782,0.122
"132","Mayotte","SUB-SAHARAN AFRICA",201234,374,538.1,49.52,6.78,624,2600,NA,49.7,NA,NA,"2",4095,77,NA,NA,NA,"MYT",NA,NA,204114,NA,NA,NA
